type,name,height,base,t_w,t_f,r_1,r_2,a,a_vz,a_vy,i_y,i_z,i_t,i_w,w_el_y,w_el_z,w_pl_y,w_pl_z
TCAR,TCAR180x4,0.18,0.18,0.004,0.004,0.008,0.004,0.0027748,0.0013874,0.0013874,0.0000142,0.0000142,0.0000221,0,0.00015797,0.00015797,0.00018221,0.00018221
TCAR,TCAR180x5,0.18,0.18,0.005,0.005,0.01,0.005,0.00343562,0.00171781,0.00171781,0.0000174,0.0000174,0.0000272,0,0.00019299,0.00019299,0.00022402,0.00022402
TCAR,TCAR180x6,0.18,0.18,0.006,0.006,0.012,0.006,0.00408329,0.002041645,0.002041645,0.0000204,0.0000204,0.0000322,0,0.00022628,0.00022628,0.00026435,0.00026435
TCAR,TCAR180x6.3,0.18,0.18,0.0063,0.0063,0.01575,0.00945,0.00424096,0.00212048,0.00212048,0.000021,0.000021,0.0000338,0,0.00023285,0.00023285,0.00027309,0.00027309
TCAR,TCAR180x8,0.18,0.18,0.008,0.008,0.02,0.012,0.00528425,0.002642125,0.002642125,0.0000255,0.0000255,0.0000419,0,0.00028287,0.00028287,0.0003357,0.0003357
TCAR,TCAR180x10,0.18,0.18,0.01,0.01,0.025,0.015,0.00645664,0.00322832,0.00322832,0.0000302,0.0000302,0.0000507,0,0.0003352,0.0003352,0.00040351,0.00040351
TCAR,TCAR180x12.5,0.18,0.18,0.0125,0.0125,0.0375,0.025,0.00770437,0.003852185,0.003852185,0.0000341,0.0000341,0.0000605,0,0.00037849,0.00037849,0.00046708,0.00046708
TCAR,TCAR180x16,0.18,0.18,0.016,0.016,0.048,0.032,0.00939724,0.00469862,0.00469862,0.0000389,0.0000389,0.0000718,0,0.00043186,0.00043186,0.00054952,0.00054952
TCAR,TCAR200x4,0.2,0.2,0.004,0.004,0.008,0.004,0.0030948,0.0015474,0.0015474,0.0000197,0.0000197,0.0000305,0,0.00019681,0.00019681,0.00022644,0.00022644
TCAR,TCAR200x5,0.2,0.2,0.005,0.005,0.01,0.005,0.00383562,0.00191781,0.00191781,0.0000241,0.0000241,0.0000376,0,0.00024101,0.00024101,0.00027887,0.00027887
TCAR,TCAR200x6,0.2,0.2,0.006,0.006,0.012,0.006,0.00456329,0.002281645,0.002281645,0.0000283,0.0000283,0.0000446,0,0.00028327,0.00028327,0.00032967,0.00032967
TCAR,TCAR200x6.3,0.2,0.2,0.0063,0.0063,0.01575,0.00945,0.00474496,0.00237248,0.00237248,0.0000292,0.0000292,0.0000468,0,0.00029215,0.00029215,0.00034116,0.00034116
TCAR,TCAR200x8,0.2,0.2,0.008,0.008,0.02,0.012,0.00592425,0.002962125,0.002962125,0.0000357,0.0000357,0.0000582,0,0.00035663,0.00035663,0.00042086,0.00042086
TCAR,TCAR200x10,0.2,0.2,0.01,0.01,0.025,0.015,0.00725664,0.00362832,0.00362832,0.0000425,0.0000425,0.0000707,0,0.00042511,0.00042511,0.00050808,0.00050808
TCAR,TCAR200x12,0.2,0.2,0.012,0.012,0.036,0.024,0.00840595,0.004202975,0.004202975,0.0000473,0.0000473,0.0000823,0,0.00047302,0.00047302,0.00057561,0.00057561
TCAR,TCAR200x12.5,0.2,0.2,0.0125,0.0125,0.0375,0.025,0.00870437,0.004352185,0.004352185,0.0000486,0.0000486,0.000085,0,0.00048594,0.00048594,0.0005935,0.0005935
TCAR,TCAR200x16,0.2,0.2,0.016,0.016,0.048,0.032,0.01067724,0.00533862,0.00533862,0.0000563,0.0000563,0.0001021,0,0.0005625,0.0005625,0.00070557,0.00070557
TCAR,TCAR220x5,0.22,0.22,0.005,0.005,0.01,0.005,0.00423562,0.00211781,0.00211781,0.0000324,0.0000324,0.0000504,0,0.00029437,0.00029437,0.00033973,0.00033973
TCAR,TCAR220x6,0.22,0.22,0.006,0.006,0.012,0.006,0.00504329,0.002521645,0.002521645,0.0000381,0.0000381,0.0000598,0,0.00034667,0.00034667,0.00040218,0.00040218
TCAR,TCAR220x6.3,0.22,0.22,0.0063,0.0063,0.01575,0.00945,0.00524896,0.00262448,0.00262448,0.0000394,0.0000394,0.0000628,0,0.00035818,0.00035818,0.0004168,0.0004168
TCAR,TCAR220x8,0.22,0.22,0.008,0.008,0.02,0.012,0.00656425,0.003282125,0.003282125,0.0000483,0.0000483,0.0000781,0,0.00043891,0.00043891,0.00051562,0.00051562
TCAR,TCAR220x10,0.22,0.22,0.01,0.01,0.025,0.015,0.00805664,0.00402832,0.00402832,0.0000578,0.0000578,0.0000953,0,0.00052568,0.00052568,0.00062465,0.00062465
TCAR,TCAR220x12,0.22,0.22,0.012,0.012,0.036,0.024,0.00936595,0.004682975,0.004682975,0.0000649,0.0000649,0.00011149,0,0.00058971,0.00058971,0.00071199,0.00071199
TCAR,TCAR220x12.5,0.22,0.22,0.0125,0.0125,0.0375,0.025,0.00970437,0.004852185,0.004852185,0.0000667,0.0000667,0.0001153,0,0.00060673,0.00060673,0.00073492,0.00073492
TCAR,TCAR220x16,0.22,0.22,0.016,0.016,0.048,0.032,0.01195724,0.00597862,0.00597862,0.0000781,0.0000781,0.00013971,0,0.0007102,0.0007102,0.00088083,0.00088083
TCAR,TCAR250x5,0.25,0.25,0.005,0.005,0.01,0.005,0.00483562,0.00241781,0.00241781,0.0000481,0.0000481,0.0000744,0,0.0003844,0.0003844,0.00044226,0.00044226
